district,category,urban,family_income,first_gen,parent_grad,cutoff_12th,entrance_score,college_tier,tuition,distance_km,competing_offers,merit_aid_pct,need_aid_pct,total_aid_pct,aid_amount,net_price,enrolled
Namakkal,ST,1,256000.0,0,1,70.07,95.3,Tier-1 (Autonomous),164000.0,292.6,2,0.317,0.444,0.381,62400.0,101600.0,1
Madurai,OC,0,1075000.0,0,0,89.27,141.7,Tier-3 (Self-financing),84000.0,32.2,3,0.445,0.333,0.389,32700.0,51300.0,1
Virudhunagar,BC,1,419000.0,0,0,76.23,102.9,Tier-1 (Autonomous),166000.0,38.3,2,0.253,0.483,0.368,61100.0,104900.0,0
Dindigul,BC,1,150000.0,0,1,76.33,121.2,Tier-2 (Affiliated),107000.0,35.6,5,0.399,0.595,0.497,53200.0,53800.0,0
Namakkal,BC,0,644000.0,1,0,71.99,110.0,Tier-1 (Autonomous),183000.0,334.5,0,0.331,0.483,0.407,74500.0,108500.0,0
Vellore,SC,1,403000.0,1,0,73.93,102.1,Tier-2 (Affiliated),107000.0,51.4,2,0.324,0.48,0.402,43000.0,64000.0,1
Tiruchirappalli,MBC,1,391000.0,0,1,83.5,141.1,Tier-2 (Affiliated),116000.0,51.5,0,0.396,0.439,0.417,48400.0,67600.0,1
Villupuram,MBC,1,330000.0,0,1,63.84,98.3,Tier-2 (Affiliated),113000.0,83.2,4,0.294,0.447,0.371,41900.0,71100.0,0
Nagapattinam,BC,1,287000.0,1,0,78.81,151.9,Tier-3 (Self-financing),68000.0,19.0,2,0.412,0.531,0.472,32100.0,35900.0,0
Theni,BC,1,1402000.0,0,1,87.56,141.4,Tier-2 (Affiliated),120000.0,191.4,1,0.312,0.218,0.265,31800.0,88200.0,1
Thanjavur,BC,1,497000.0,1,0,77.15,85.2,Tier-2 (Affiliated),112000.0,15.5,1,0.158,0.341,0.25,28000.0,84000.0,1
Virudhunagar,SC,1,121000.0,0,0,88.54,114.5,Tier-2 (Affiliated),105000.0,138.5,0,0.347,0.507,0.427,44900.0,60100.0,0
Namakkal,MBC,0,311000.0,1,0,91.41,177.7,Tier-3 (Self-financing),81000.0,85.7,1,0.564,0.447,0.506,40900.0,40100.0,0
Thanjavur,BC,0,580000.0,0,0,87.04,133.9,Tier-1 (Autonomous),163000.0,70.0,1,0.312,0.405,0.359,58400.0,104600.0,1
Dindigul,SC,0,213000.0,1,0,72.63,119.8,Tier-3 (Self-financing),87000.0,15.9,1,0.427,0.551,0.489,42500.0,44500.0,0
Salem,OC,1,384000.0,0,1,77.65,124.4,Tier-2 (Affiliated),115000.0,150.5,3,0.254,0.482,0.368,42300.0,72700.0,1
Coimbatore,BC,0,173000.0,1,0,81.46,151.6,Tier-1 (Autonomous),175000.0,43.2,1,0.442,0.497,0.47,82200.0,92800.0,0
Tiruppur,BC,1,292000.0,1,0,73.3,88.7,Tier-2 (Affiliated),103000.0,27.2,3,0.174,0.397,0.286,29400.0,73600.0,0
Kanyakumari,ST,1,630000.0,0,1,72.97,136.7,Tier-2 (Affiliated),111000.0,36.8,0,0.392,0.394,0.393,43600.0,67400.0,0
Coimbatore,SC,0,187000.0,1,0,72.37,134.7,Tier-2 (Affiliated),120000.0,34.3,1,0.269,0.384,0.326,39200.0,80800.0,0
Kanyakumari,MBC,1,167000.0,0,1,99.9,159.9,Tier-1 (Autonomous),189000.0,30.8,2,0.325,0.455,0.39,73700.0,115300.0,1
Virudhunagar,OC,1,778000.0,0,0,75.29,126.7,Tier-2 (Affiliated),117000.0,6.5,3,0.293,0.333,0.313,36600.0,80400.0,1
Tirunelveli,BC,0,323000.0,0,1,88.69,136.3,Tier-2 (Affiliated),126000.0,64.3,3,0.43,0.487,0.458,57800.0,68200.0,1
Theni,MBC,0,203000.0,1,0,69.31,85.6,Tier-1 (Autonomous),187000.0,23.6,1,0.211,0.515,0.363,67900.0,119100.0,0
Tiruchirappalli,BC,0,171000.0,1,0,95.02,160.7,Tier-2 (Affiliated),119000.0,21.9,5,0.353,0.496,0.425,50500.0,68500.0,0
Nagapattinam,ST,0,94000.0,0,0,74.21,122.4,Tier-3 (Self-financing),86000.0,37.3,0,0.404,0.44,0.422,36300.0,49700.0,0
Karur,SC,0,354000.0,1,0,78.53,129.7,Tier-3 (Self-financing),82000.0,28.0,0,0.37,0.343,0.356,29200.0,52800.0,1
Vellore,MBC,1,481000.0,1,0,59.67,102.7,Tier-2 (Affiliated),119000.0,59.9,3,0.317,0.564,0.44,52400.0,66600.0,1
Coimbatore,SC,0,254000.0,1,0,89.17,133.6,Tier-3 (Self-financing),77000.0,48.9,0,0.339,0.432,0.386,29700.0,47300.0,0
Thoothukudi,ST,0,193000.0,0,1,91.33,168.5,Tier-1 (Autonomous),183000.0,41.7,1,0.345,0.489,0.417,76300.0,106700.0,0
Thanjavur,MBC,0,311000.0,0,0,66.13,105.9,Tier-3 (Self-financing),80000.0,13.8,2,0.387,0.45,0.419,33500.0,46500.0,1
Kanyakumari,MBC,0,201000.0,0,0,89.75,151.7,Tier-3 (Self-financing),88000.0,121.9,1,0.416,0.579,0.498,43800.0,44200.0,0
Cuddalore,ST,1,244000.0,0,1,64.63,99.3,Tier-2 (Affiliated),112000.0,2.0,2,0.324,0.526,0.425,47600.0,64400.0,1
Nagapattinam,BC,0,567000.0,0,1,84.32,150.7,Tier-1 (Autonomous),181000.0,201.5,3,0.395,0.382,0.388,70300.0,110700.0,1
Nagapattinam,SC,0,425000.0,1,0,75.12,121.8,Tier-3 (Self-financing),85000.0,2.0,2,0.331,0.508,0.42,35700.0,49300.0,1
Tiruchirappalli,OC,1,322000.0,1,0,91.36,144.9,Tier-2 (Affiliated),114000.0,3.0,0,0.275,0.379,0.327,37300.0,76700.0,0
Vellore,MBC,1,375000.0,1,0,80.49,146.9,Tier-1 (Autonomous),186000.0,13.5,1,0.346,0.468,0.407,75800.0,110200.0,1
Dindigul,SC,1,500000.0,0,1,87.31,113.9,Tier-3 (Self-financing),74000.0,54.7,4,0.415,0.212,0.313,23200.0,50800.0,0
Dindigul,MBC,1,1183000.0,0,1,90.38,140.4,Tier-2 (Affiliated),110000.0,20.3,0,0.459,0.343,0.401,44200.0,65800.0,1
Chennai,MBC,1,1119000.0,1,0,75.09,111.0,Tier-2 (Affiliated),107000.0,44.8,1,0.381,0.297,0.339,36200.0,70800.0,1
Namakkal,MBC,1,271000.0,0,0,77.71,129.9,Tier-2 (Affiliated),112000.0,83.5,2,0.392,0.479,0.435,48700.0,63300.0,1
Tiruchirappalli,BC,1,974000.0,1,0,66.89,111.8,Tier-3 (Self-financing),82000.0,54.6,0,0.309,0.456,0.382,31400.0,50600.0,1
Karur,BC,0,309000.0,0,0,75.0,119.8,Tier-2 (Affiliated),120000.0,4.7,1,0.393,0.429,0.411,49400.0,70600.0,0
Cuddalore,BC,1,858000.0,0,0,97.27,144.9,Tier-3 (Self-financing),84000.0,96.8,7,0.479,0.325,0.402,33800.0,50200.0,1
Villupuram,MBC,1,648000.0,1,0,85.56,136.5,Tier-1 (Autonomous),188000.0,56.1,2,0.4,0.304,0.352,66200.0,121800.0,1
Karur,MBC,1,210000.0,1,0,67.55,112.9,Tier-2 (Affiliated),102000.0,20.7,1,0.3,0.513,0.406,41500.0,60500.0,1
Vellore,BC,1,654000.0,0,1,94.31,148.2,Tier-2 (Affiliated),108000.0,41.4,1,0.494,0.416,0.455,49200.0,58800.0,1
Thoothukudi,SC,1,548000.0,1,0,81.89,147.6,Tier-2 (Affiliated),105000.0,5.7,4,0.332,0.501,0.417,43700.0,61300.0,0
Thanjavur,BC,0,296000.0,0,1,86.3,147.3,Tier-2 (Affiliated),113000.0,100.7,2,0.39,0.489,0.44,49700.0,63300.0,0
Erode,MBC,1,367000.0,0,1,82.91,132.9,Tier-1 (Autonomous),171000.0,40.0,1,0.252,0.505,0.378,64700.0,106300.0,0
Villupuram,BC,0,126000.0,0,1,82.2,96.3,Tier-2 (Affiliated),96000.0,5.2,0,0.158,0.567,0.362,34800.0,61200.0,0
Vellore,BC,1,703000.0,1,0,58.02,89.6,Tier-3 (Self-financing),80000.0,10.2,1,0.227,0.441,0.334,26700.0,53300.0,0
Coimbatore,SC,1,353000.0,1,0,89.07,152.0,Tier-2 (Affiliated),114000.0,29.1,2,0.493,0.47,0.481,54900.0,59100.0,1
Dindigul,MBC,0,157000.0,0,1,55.46,84.5,Tier-3 (Self-financing),79000.0,160.7,0,0.338,0.562,0.45,35600.0,43400.0,1
Nagapattinam,OC,0,326000.0,1,0,88.16,145.6,Tier-3 (Self-financing),87000.0,166.7,1,0.399,0.538,0.468,40700.0,46300.0,1
Tiruchirappalli,ST,0,184000.0,1,0,79.0,123.0,Tier-3 (Self-financing),80000.0,85.2,1,0.296,0.594,0.445,35600.0,44400.0,0
Dindigul,SC,1,232000.0,0,1,86.35,141.6,Tier-3 (Self-financing),71000.0,2.0,0,0.388,0.687,0.537,38200.0,32800.0,0
Madurai,SC,1,315000.0,0,0,79.58,148.3,Tier-2 (Affiliated),117000.0,6.8,0,0.437,0.408,0.423,49400.0,67600.0,1
Cuddalore,SC,1,120000.0,0,1,88.44,153.3,Tier-3 (Self-financing),90000.0,147.2,0,0.579,0.568,0.574,51600.0,38400.0,1
Dindigul,ST,0,355000.0,0,1,78.16,105.6,Tier-3 (Self-financing),85000.0,62.6,0,0.267,0.479,0.373,31700.0,53300.0,1
Erode,BC,1,487000.0,1,0,80.81,104.4,Tier-2 (Affiliated),110000.0,5.4,3,0.175,0.471,0.323,35500.0,74500.0,1
Salem,MBC,1,229000.0,1,0,82.05,137.9,Tier-3 (Self-financing),83000.0,14.5,0,0.412,0.566,0.489,40600.0,42400.0,1
Tiruppur,MBC,0,67000.0,0,0,96.79,172.4,Tier-3 (Self-financing),77000.0,203.4,1,0.509,0.555,0.532,41000.0,36000.0,0
Cuddalore,BC,0,527000.0,0,0,84.0,109.5,Tier-3 (Self-financing),95000.0,78.6,3,0.278,0.362,0.32,30400.0,64600.0,0
Villupuram,BC,1,657000.0,0,0,64.83,100.6,Tier-2 (Affiliated),109000.0,63.9,0,0.228,0.38,0.304,33100.0,75900.0,1
Thanjavur,OC,0,438000.0,0,0,72.36,151.4,Tier-2 (Affiliated),113000.0,58.6,0,0.594,0.51,0.552,62400.0,50600.0,1
Tiruchirappalli,MBC,0,418000.0,0,0,83.98,130.3,Tier-3 (Self-financing),81000.0,348.8,1,0.314,0.406,0.36,29100.0,51900.0,1
Virudhunagar,SC,0,313000.0,0,0,90.6,182.8,Tier-3 (Self-financing),89000.0,45.0,1,0.416,0.401,0.409,36400.0,52600.0,1
Theni,SC,0,217000.0,0,0,70.78,100.9,Tier-2 (Affiliated),119000.0,9.7,0,0.202,0.483,0.343,40800.0,78200.0,1
Karur,BC,0,260000.0,0,1,99.9,150.1,Tier-2 (Affiliated),111000.0,112.8,4,0.385,0.383,0.384,42600.0,68400.0,1
Coimbatore,BC,0,238000.0,0,1,79.76,117.1,Tier-2 (Affiliated),113000.0,18.7,2,0.206,0.442,0.324,36600.0,76400.0,1
Erode,MBC,1,529000.0,0,0,82.21,112.3,Tier-3 (Self-financing),92000.0,2.0,2,0.275,0.601,0.438,40300.0,51700.0,1
Nagapattinam,MBC,1,906000.0,0,1,65.46,79.4,Tier-1 (Autonomous),186000.0,86.5,4,0.303,0.329,0.316,58800.0,127200.0,0
Virudhunagar,ST,0,160000.0,0,1,89.15,139.3,Tier-3 (Self-financing),93000.0,68.7,1,0.284,0.549,0.417,38800.0,54200.0,0
Thanjavur,SC,1,710000.0,0,0,73.54,119.8,Tier-2 (Affiliated),113000.0,43.5,1,0.206,0.345,0.276,31100.0,81900.0,0
Virudhunagar,ST,1,335000.0,0,1,70.54,102.1,Tier-2 (Affiliated),113000.0,18.5,0,0.314,0.535,0.424,48000.0,65000.0,1
Virudhunagar,SC,0,240000.0,1,0,74.83,112.6,Tier-1 (Autonomous),182000.0,161.6,1,0.275,0.482,0.379,68900.0,113100.0,1
Vellore,ST,0,634000.0,0,1,91.83,168.6,Tier-2 (Affiliated),117000.0,22.6,2,0.459,0.489,0.474,55400.0,61600.0,0
Kanyakumari,MBC,0,645000.0,1,0,82.66,146.8,Tier-2 (Affiliated),107000.0,123.0,0,0.499,0.398,0.448,48000.0,59000.0,1
Tirunelveli,OC,1,1586000.0,0,1,69.11,106.7,Tier-3 (Self-financing),89000.0,2.2,1,0.226,0.202,0.214,19100.0,69900.0,1
Salem,OC,1,406000.0,0,0,72.7,122.8,Tier-2 (Affiliated),128000.0,20.4,3,0.202,0.458,0.33,42300.0,85700.0,1
Cuddalore,BC,0,998000.0,0,0,92.1,122.8,Tier-2 (Affiliated),113000.0,115.4,2,0.392,0.355,0.373,42200.0,70800.0,1
Theni,BC,1,462000.0,1,0,75.64,125.1,Tier-2 (Affiliated),100000.0,98.4,4,0.331,0.478,0.404,40400.0,59600.0,1
Madurai,BC,1,426000.0,1,0,83.6,132.8,Tier-1 (Autonomous),178000.0,37.1,3,0.354,0.411,0.382,68100.0,109900.0,1
Virudhunagar,ST,0,60000.0,0,1,86.05,132.1,Tier-2 (Affiliated),115000.0,93.5,4,0.204,0.466,0.335,38600.0,76400.0,0
Tiruchirappalli,BC,1,578000.0,0,0,45.0,72.5,Tier-2 (Affiliated),105000.0,6.5,2,0.07,0.324,0.197,20700.0,84300.0,1
Virudhunagar,ST,1,150000.0,1,0,90.64,143.1,Tier-3 (Self-financing),77000.0,66.3,0,0.383,0.474,0.428,33000.0,44000.0,0
Chennai,SC,1,394000.0,0,1,69.48,91.5,Tier-1 (Autonomous),169000.0,217.7,1,0.132,0.337,0.235,39700.0,129300.0,0
Nagapattinam,MBC,1,222000.0,0,1,74.39,144.2,Tier-2 (Affiliated),108000.0,50.9,1,0.48,0.404,0.442,47700.0,60300.0,0
Nagapattinam,MBC,1,1129000.0,1,0,93.39,163.7,Tier-1 (Autonomous),193000.0,177.7,0,0.467,0.309,0.388,74900.0,118100.0,1
Nagapattinam,BC,0,405000.0,0,1,92.47,142.1,Tier-1 (Autonomous),176000.0,239.3,0,0.376,0.517,0.447,78700.0,97300.0,0
Cuddalore,MBC,0,911000.0,1,0,82.93,106.3,Tier-2 (Affiliated),117000.0,102.6,2,0.347,0.344,0.346,40500.0,76500.0,1
Dindigul,BC,1,275000.0,0,1,85.28,99.6,Tier-2 (Affiliated),108000.0,160.4,1,0.199,0.655,0.427,46100.0,61900.0,0
Karur,ST,0,396000.0,0,1,87.78,170.5,Tier-1 (Autonomous),177000.0,30.3,0,0.527,0.497,0.512,90600.0,86400.0,0
Tirunelveli,BC,1,179000.0,1,0,92.3,145.1,Tier-3 (Self-financing),89000.0,135.3,0,0.406,0.531,0.469,41700.0,47300.0,1
Nagapattinam,BC,0,335000.0,0,1,93.57,161.2,Tier-2 (Affiliated),98000.0,53.1,0,0.53,0.394,0.462,45300.0,52700.0,1
Tiruppur,SC,1,223000.0,0,1,79.08,112.3,Tier-2 (Affiliated),123000.0,18.7,2,0.326,0.553,0.439,54000.0,69000.0,0
Dindigul,MBC,1,328000.0,0,1,70.63,108.4,Tier-3 (Self-financing),89000.0,86.7,3,0.327,0.532,0.429,38200.0,50800.0,1
Namakkal,MBC,0,196000.0,0,0,75.45,116.9,Tier-2 (Affiliated),118000.0,22.7,2,0.266,0.436,0.351,41400.0,76600.0,0
Tiruppur,MBC,1,254000.0,0,1,79.27,130.5,Tier-2 (Affiliated),108000.0,50.4,1,0.31,0.503,0.407,43900.0,64100.0,0
Chennai,BC,0,150000.0,0,0,77.47,125.3,Tier-3 (Self-financing),89000.0,52.9,1,0.329,0.643,0.486,43300.0,45700.0,0
Madurai,MBC,1,329000.0,0,1,67.88,94.8,Tier-2 (Affiliated),117000.0,12.5,2,0.278,0.506,0.392,45900.0,71100.0,0
Salem,BC,1,515000.0,0,1,82.37,117.8,Tier-1 (Autonomous),179000.0,70.3,0,0.34,0.517,0.429,76700.0,102300.0,1
Madurai,BC,1,916000.0,1,0,62.32,98.5,Tier-3 (Self-financing),78000.0,33.2,3,0.304,0.344,0.324,25300.0,52700.0,1
Thanjavur,BC,1,568000.0,0,0,78.85,99.8,Tier-2 (Affiliated),102000.0,17.8,0,0.179,0.298,0.239,24400.0,77600.0,1
Cuddalore,BC,1,917000.0,1,0,79.5,114.9,Tier-2 (Affiliated),107000.0,103.5,1,0.193,0.409,0.301,32200.0,74800.0,1
Cuddalore,BC,1,214000.0,0,0,79.15,124.3,Tier-2 (Affiliated),112000.0,84.9,2,0.295,0.495,0.395,44200.0,67800.0,0
Dindigul,MBC,0,205000.0,0,0,86.51,144.4,Tier-1 (Autonomous),179000.0,108.4,2,0.352,0.529,0.44,78800.0,100200.0,0
Kanyakumari,BC,1,714000.0,1,0,85.19,158.9,Tier-3 (Self-financing),81000.0,96.1,0,0.38,0.414,0.397,32100.0,48900.0,1
Tiruppur,BC,1,583000.0,1,0,99.9,152.7,Tier-3 (Self-financing),90000.0,6.9,1,0.416,0.373,0.395,35500.0,54500.0,1
Coimbatore,MBC,0,162000.0,0,0,72.82,117.1,Tier-3 (Self-financing),81000.0,85.4,2,0.205,0.523,0.364,29500.0,51500.0,0
Nagapattinam,BC,1,807000.0,0,1,80.79,101.3,Tier-1 (Autonomous),175000.0,11.1,1,0.207,0.341,0.274,48000.0,127000.0,0
Tiruppur,MBC,0,194000.0,1,0,80.15,133.3,Tier-3 (Self-financing),93000.0,12.2,4,0.287,0.43,0.358,33300.0,59700.0,0
Theni,ST,1,178000.0,0,0,79.68,113.8,Tier-3 (Self-financing),89000.0,31.4,0,0.202,0.578,0.39,34700.0,54300.0,0
Tiruppur,MBC,0,340000.0,0,0,65.35,99.9,Tier-2 (Affiliated),100000.0,273.5,1,0.148,0.416,0.282,28200.0,71800.0,0
Tiruppur,ST,1,274000.0,0,0,66.17,113.0,Tier-3 (Self-financing),74000.0,126.4,1,0.215,0.484,0.35,25900.0,48100.0,1
Coimbatore,OC,0,293000.0,1,0,78.06,132.7,Tier-3 (Self-financing),76000.0,155.4,1,0.404,0.422,0.413,31400.0,44600.0,1
Tiruppur,OC,1,464000.0,1,0,62.24,77.8,Tier-2 (Affiliated),110000.0,16.2,4,0.146,0.575,0.36,39600.0,70400.0,0
Nagapattinam,SC,0,108000.0,0,1,74.66,131.5,Tier-2 (Affiliated),119000.0,75.8,0,0.367,0.568,0.468,55600.0,63400.0,0
Erode,SC,1,253000.0,1,0,71.52,113.8,Tier-2 (Affiliated),122000.0,15.7,3,0.279,0.421,0.35,42700.0,79300.0,1
Theni,SC,1,577000.0,0,0,75.02,139.0,Tier-1 (Autonomous),186000.0,31.2,3,0.436,0.437,0.437,81200.0,104800.0,0
Chennai,OC,1,721000.0,1,0,89.32,164.8,Tier-1 (Autonomous),195000.0,57.2,1,0.516,0.411,0.463,90300.0,104700.0,1
Erode,SC,0,330000.0,0,1,67.22,131.6,Tier-2 (Affiliated),112000.0,56.2,0,0.401,0.494,0.447,50100.0,61900.0,1
Thanjavur,BC,0,397000.0,1,0,86.7,117.4,Tier-2 (Affiliated),119000.0,265.0,1,0.294,0.423,0.358,42600.0,76400.0,1
Thoothukudi,BC,0,214000.0,0,1,72.29,121.7,Tier-3 (Self-financing),80000.0,15.5,0,0.321,0.454,0.387,31000.0,49000.0,0
Salem,BC,1,195000.0,0,1,73.53,94.0,Tier-3 (Self-financing),73000.0,231.9,1,0.132,0.63,0.381,27800.0,45200.0,0
Tirunelveli,ST,0,102000.0,0,0,82.66,151.8,Tier-2 (Affiliated),108000.0,152.2,1,0.374,0.458,0.416,44900.0,63100.0,0
Thanjavur,OC,1,436000.0,1,0,75.26,142.1,Tier-2 (Affiliated),109000.0,62.5,2,0.454,0.381,0.418,45500.0,63500.0,0
Thoothukudi,SC,0,129000.0,0,1,69.08,125.2,Tier-2 (Affiliated),131000.0,66.9,1,0.292,0.379,0.335,43900.0,87100.0,0
Kanyakumari,MBC,1,720000.0,0,0,74.3,112.5,Tier-2 (Affiliated),110000.0,87.4,2,0.271,0.389,0.33,36300.0,73700.0,1
Chennai,SC,0,333000.0,0,1,60.23,104.5,Tier-3 (Self-financing),77000.0,11.4,3,0.311,0.382,0.346,26700.0,50300.0,1
Salem,SC,1,1063000.0,1,0,81.81,122.6,Tier-2 (Affiliated),118000.0,46.6,4,0.346,0.518,0.432,50900.0,67100.0,1
Virudhunagar,SC,0,128000.0,1,0,46.98,75.4,Tier-3 (Self-financing),79000.0,2.8,1,0.161,0.416,0.288,22800.0,56200.0,1
Coimbatore,BC,0,720000.0,0,1,86.88,137.6,Tier-1 (Autonomous),181000.0,96.3,2,0.36,0.347,0.354,64000.0,117000.0,0
Kanyakumari,OC,0,936000.0,0,0,84.15,104.7,Tier-3 (Self-financing),92000.0,2.1,2,0.328,0.54,0.434,40000.0,52000.0,1
Tirunelveli,MBC,0,229000.0,1,0,94.01,138.3,Tier-2 (Affiliated),103000.0,2.0,1,0.329,0.592,0.46,47400.0,55600.0,0
Villupuram,BC,1,627000.0,0,1,99.82,193.8,Tier-1 (Autonomous),192000.0,32.8,0,0.603,0.281,0.442,84900.0,107100.0,0
Tirunelveli,BC,1,956000.0,0,1,87.36,138.5,Tier-2 (Affiliated),119000.0,43.5,2,0.36,0.364,0.362,43100.0,75900.0,1
Thanjavur,BC,1,468000.0,0,1,71.73,117.2,Tier-2 (Affiliated),113000.0,11.7,1,0.35,0.477,0.414,46800.0,66200.0,0
Cuddalore,BC,1,448000.0,0,1,99.73,159.4,Tier-2 (Affiliated),124000.0,4.1,2,0.506,0.383,0.445,55100.0,68900.0,1
Madurai,OC,1,446000.0,1,0,66.06,99.5,Tier-2 (Affiliated),107000.0,45.3,0,0.254,0.512,0.383,40900.0,66100.0,1
Tiruppur,OC,0,106000.0,1,0,58.97,94.9,Tier-2 (Affiliated),116000.0,35.3,1,0.313,0.415,0.364,42200.0,73800.0,0
Namakkal,ST,0,176000.0,0,1,96.52,148.3,Tier-2 (Affiliated),112000.0,3.2,1,0.472,0.379,0.425,47700.0,64300.0,0
Nagapattinam,BC,0,202000.0,1,0,84.02,100.2,Tier-2 (Affiliated),105000.0,65.1,2,0.224,0.586,0.405,42500.0,62500.0,1
Thoothukudi,ST,0,94000.0,0,0,59.24,106.6,Tier-1 (Autonomous),175000.0,38.7,5,0.287,0.577,0.432,75600.0,99400.0,0
Cuddalore,ST,1,344000.0,1,0,64.45,127.3,Tier-2 (Affiliated),126000.0,31.3,1,0.364,0.629,0.496,62600.0,63400.0,1
Thanjavur,BC,1,217000.0,0,0,83.51,116.2,Tier-2 (Affiliated),118000.0,18.1,0,0.38,0.498,0.439,51800.0,66200.0,0
Thanjavur,SC,1,491000.0,1,0,69.3,104.7,Tier-2 (Affiliated),117000.0,88.7,1,0.147,0.578,0.362,42400.0,74600.0,1
Thanjavur,MBC,1,548000.0,1,0,70.74,135.7,Tier-2 (Affiliated),105000.0,2.0,2,0.458,0.397,0.428,44900.0,60100.0,1
Virudhunagar,MBC,0,209000.0,1,0,97.66,144.7,Tier-1 (Autonomous),186000.0,285.9,0,0.28,0.6,0.44,81900.0,104100.0,0
Erode,OC,1,608000.0,0,1,99.48,165.0,Tier-2 (Affiliated),107000.0,2.0,5,0.511,0.579,0.545,58400.0,48600.0,0
Tiruchirappalli,BC,0,155000.0,1,0,79.47,192.1,Tier-1 (Autonomous),194000.0,27.5,2,0.607,0.446,0.526,102100.0,91900.0,0
Erode,OC,0,589000.0,1,0,76.5,131.9,Tier-2 (Affiliated),120000.0,14.4,0,0.343,0.291,0.317,38000.0,82000.0,1
Chennai,MBC,0,288000.0,0,1,87.02,140.3,Tier-2 (Affiliated),117000.0,140.8,1,0.436,0.511,0.473,55400.0,61600.0,0
Madurai,ST,0,195000.0,0,1,72.38,129.0,Tier-2 (Affiliated),117000.0,2.0,1,0.254,0.527,0.391,45700.0,71300.0,1
Coimbatore,MBC,1,554000.0,1,0,55.69,100.8,Tier-1 (Autonomous),179000.0,2.0,2,0.186,0.428,0.307,55000.0,124000.0,1
Nagapattinam,SC,0,137000.0,1,0,50.38,70.7,Tier-2 (Affiliated),114000.0,91.7,1,0.059,0.6,0.329,37500.0,76500.0,1
Karur,ST,0,73000.0,1,0,77.26,97.6,Tier-2 (Affiliated),122000.0,89.8,1,0.186,0.445,0.315,38500.0,83500.0,0
Cuddalore,MBC,1,711000.0,0,1,86.82,147.8,Tier-2 (Affiliated),114000.0,202.3,0,0.498,0.4,0.449,51200.0,62800.0,0
Dindigul,OC,1,920000.0,1,0,78.16,136.2,Tier-3 (Self-financing),78000.0,117.2,3,0.473,0.307,0.39,30400.0,47600.0,0
Karur,SC,1,235000.0,0,1,86.1,133.3,Tier-3 (Self-financing),95000.0,121.0,3,0.357,0.634,0.495,47100.0,47900.0,1
Tiruchirappalli,BC,1,605000.0,0,1,87.1,164.0,Tier-1 (Autonomous),175000.0,49.0,2,0.487,0.493,0.49,85800.0,89200.0,1
Villupuram,OC,1,1258000.0,1,0,91.86,168.6,Tier-3 (Self-financing),85000.0,44.2,0,0.642,0.246,0.444,37700.0,47300.0,1
