state_residency,is_in_state,urban_centric_locale,student_aid_index,adjusted_gross_income,first_gen,pell_eligible,hs_gpa,sat_act_percentile,institutional_tier,cost_of_attendance,miles_from_campus,fafsa_submitted_month,fafsa_month_sin,fafsa_month_cos,demonstrated_interest,merit_scholarship_amt,need_grant_amt,total_aid_package,net_price,enrolled,net_price_to_income_ratio,financial_aid_discount_rate,unmet_financial_need_gap,engagement_velocity
MN,0,Town,5872.0,37879.0,1,1,3.02,71.0,R2 Doctoral,59070.0,183.0,3,1.0,0.0,60.4,20816.0,18007.0,38823.0,20247.0,0,0.5345,0.6572,14375.0,0.0361
TX,0,Rural,77019.0,301292.0,0,0,2.63,32.0,Regional Comprehensive,35171.0,18.7,3,1.0,0.0,59.6,9041.0,0.0,9041.0,26130.0,1,0.0867,0.2571,0.0,0.0783
GA,0,City,5217.0,28765.0,0,1,3.79,99.0,Regional Comprehensive,41350.0,172.2,5,0.5,-0.866,56.9,22028.0,12989.0,35017.0,6333.0,0,0.2202,0.8468,1116.0,0.0385
CA,0,City,13400.0,68287.0,0,0,3.09,70.0,R2 Doctoral,53225.0,25.1,3,1.0,0.0,71.6,19237.0,9782.0,29019.0,24206.0,1,0.3545,0.5452,10806.0,0.1525
TX,0,Rural,5476.0,51214.0,0,1,2.68,32.0,Regional Comprehensive,38540.0,23.0,1,0.5,0.866,85.1,11494.0,14677.0,26171.0,12369.0,0,0.2415,0.6791,6893.0,0.0758
TN,0,City,3722.0,49832.0,1,1,2.26,35.0,Regional Comprehensive,41050.0,155.1,9,-1.0,-0.0,49.0,9704.0,15216.0,24920.0,16130.0,1,0.3237,0.6071,12408.0,0.0465
WI,0,Suburb,7723.0,45385.0,1,1,3.74,90.0,Liberal Arts College,84622.0,39.3,9,-1.0,-0.0,51.2,40036.0,39205.0,79241.0,5381.0,0,0.1186,0.9364,0.0,0.0473
ID,0,Suburb,3696.0,36112.0,0,1,3.06,80.0,Regional Comprehensive,46667.0,125.8,8,-0.866,-0.5,61.9,21060.0,15489.0,36549.0,10118.0,1,0.2802,0.7832,6422.0,0.0635
NY,0,City,32714.0,148095.0,0,0,2.26,21.0,Community College,21578.0,146.5,2,0.866,0.5,67.9,1883.0,0.0,1883.0,19695.0,0,0.133,0.0873,0.0,0.0984
PA,0,City,2774.0,26439.0,0,1,2.28,25.0,Regional Comprehensive,49331.0,153.6,4,0.866,-0.5,79.5,10012.0,22846.0,32858.0,16473.0,1,0.6231,0.6661,13699.0,0.1176
GA,0,Rural,20921.0,127793.0,0,0,2.51,42.0,Regional Comprehensive,49688.0,49.0,3,1.0,0.0,62.7,12847.0,5337.0,18184.0,31504.0,1,0.2465,0.366,10583.0,0.0593
TX,0,Rural,19867.0,100403.0,0,0,2.82,48.0,Regional Comprehensive,45424.0,325.5,6,0.0,-1.0,54.6,15391.0,5030.0,20421.0,25003.0,1,0.249,0.4496,5136.0,0.0272
TX,0,Rural,14879.0,47847.0,1,0,2.78,29.0,Regional Comprehensive,51302.0,115.4,7,-0.5,-0.866,92.9,14978.0,7914.0,22892.0,28410.0,1,0.5938,0.4462,13531.0,0.0959
GA,0,City,17802.0,92363.0,0,0,3.06,70.0,Liberal Arts College,71820.0,201.3,3,1.0,0.0,67.0,28119.0,15003.0,43122.0,28698.0,1,0.3107,0.6004,10896.0,0.0992
FL,0,City,12871.0,56180.0,0,0,3.13,81.0,Regional Comprehensive,51071.0,36.1,9,-1.0,-0.0,68.5,20922.0,7203.0,28125.0,22946.0,1,0.4084,0.5507,10075.0,0.0968
TN,0,Suburb,7668.0,28489.0,1,1,2.86,52.0,Liberal Arts College,86363.0,105.1,5,0.5,-0.866,34.8,28424.0,35426.0,63850.0,22513.0,1,0.7902,0.7393,14845.0,0.0357
OH,1,Suburb,6830.0,28707.0,0,1,3.67,64.0,Community College,20754.0,116.1,8,-0.866,-0.5,54.0,4008.0,7329.0,11337.0,9417.0,1,0.328,0.5463,2587.0,0.0959
LA,0,City,24886.0,100903.0,0,0,3.65,78.0,R2 Doctoral,56179.0,350.9,7,-0.5,-0.866,77.7,22348.0,5596.0,27944.0,28235.0,1,0.2798,0.4974,3349.0,0.1412
IN,0,Town,21610.0,97204.0,0,0,2.19,12.0,Regional Comprehensive,42159.0,54.9,9,-1.0,-0.0,57.7,7040.0,5151.0,12191.0,29968.0,0,0.3083,0.2892,8358.0,0.1356
NY,0,Rural,21484.0,74925.0,0,0,3.6,74.0,Community College,19117.0,71.5,4,0.866,-0.5,58.9,4406.0,0.0,4406.0,14711.0,1,0.1963,0.2305,0.0,0.1111
LA,0,Suburb,11033.0,47482.0,0,0,2.28,30.0,Regional Comprehensive,38365.0,44.9,5,0.5,-0.866,25.2,11068.0,6797.0,17865.0,20500.0,1,0.4317,0.4657,9467.0,0.0467
SC,0,Suburb,10167.0,54879.0,1,0,2.5,45.0,Regional Comprehensive,49874.0,63.6,1,0.5,0.866,64.5,13727.0,10079.0,23806.0,26068.0,1,0.475,0.4773,15901.0,0.0606
IL,0,Suburb,3751.0,49792.0,0,1,3.57,95.0,Liberal Arts College,72648.0,29.2,4,0.866,-0.5,82.6,35420.0,27341.0,62761.0,9887.0,1,0.1986,0.8639,6136.0,0.126
NY,0,City,2038.0,17894.0,1,1,3.07,66.0,Regional Comprehensive,43319.0,109.6,11,-0.5,0.866,58.0,15872.0,12882.0,28754.0,14565.0,0,0.814,0.6638,12527.0,0.0619
TN,0,City,7897.0,65782.0,0,1,3.32,53.0,Regional Comprehensive,36974.0,246.3,2,0.866,0.5,70.5,14948.0,12135.0,27083.0,9891.0,1,0.1504,0.7325,1994.0,0.117
TX,0,Suburb,18603.0,91690.0,0,0,1.95,24.0,Community College,16477.0,55.6,3,1.0,0.0,55.3,283.0,0.0,283.0,16194.0,0,0.1766,0.0172,0.0,0.119
TX,0,Suburb,9985.0,66084.0,1,0,2.87,46.0,Regional Comprehensive,56976.0,115.2,5,0.5,-0.866,57.3,17591.0,7537.0,25128.0,31848.0,1,0.4819,0.441,21863.0,0.039
CA,0,Suburb,38537.0,224985.0,0,0,3.23,61.0,Community College,17489.0,100.5,2,0.866,0.5,63.0,0.0,0.0,0.0,17489.0,1,0.0777,0.0,0.0,0.1146
MN,0,Town,-379.0,30538.0,0,1,3.55,76.0,Liberal Arts College,87579.0,383.6,2,0.866,0.5,71.0,39678.0,30651.0,70329.0,17250.0,1,0.5649,0.803,17629.0,0.0744
TN,0,City,7243.0,39105.0,0,1,3.23,65.0,Regional Comprehensive,39337.0,66.7,11,-0.5,0.866,67.9,15609.0,12289.0,27898.0,11439.0,0,0.2925,0.7092,4196.0,0.1385
MO,0,City,10753.0,69270.0,0,0,2.82,61.0,Community College,15689.0,69.3,1,0.5,0.866,75.7,6492.0,825.0,7317.0,8372.0,1,0.1209,0.4664,0.0,0.2222
MN,0,City,19759.0,75020.0,0,0,2.58,45.0,R1 Research,71913.0,52.1,2,0.866,0.5,56.0,17085.0,13518.0,30603.0,41310.0,1,0.5507,0.4256,21551.0,0.0889
GA,0,City,6375.0,16013.0,0,1,3.08,43.0,Community College,19184.0,38.4,5,0.5,-0.866,63.1,3878.0,6089.0,9967.0,9217.0,0,0.5756,0.5195,2842.0,0.2
VA,0,Suburb,18259.0,97143.0,0,0,2.9,32.0,Liberal Arts College,71067.0,220.9,10,-0.866,0.5,32.0,16370.0,12075.0,28445.0,42622.0,0,0.4388,0.4003,24363.0,0.0714
TX,0,Town,6679.0,75266.0,1,1,3.19,71.0,Regional Comprehensive,45015.0,109.9,1,0.5,0.866,71.5,19009.0,11617.0,30626.0,14389.0,1,0.1912,0.6804,7710.0,0.1121
CA,0,Rural,-1500.0,13685.0,0,1,2.08,27.0,Regional Comprehensive,41549.0,134.2,2,0.866,0.5,26.0,6170.0,15569.0,21739.0,19810.0,0,1.4476,0.5232,21310.0,0.0227
TN,0,Suburb,6348.0,57871.0,1,1,2.92,68.0,Community College,22055.0,483.1,9,-1.0,-0.0,32.5,3330.0,7042.0,10372.0,11683.0,0,0.2019,0.4703,5335.0,0.1579
GA,0,Suburb,2488.0,35167.0,0,1,3.33,66.0,Community College,24048.0,513.1,1,0.5,0.866,66.5,2937.0,7129.0,10066.0,13982.0,0,0.3976,0.4186,11494.0,0.1837
NJ,0,City,8971.0,45415.0,0,0,3.46,76.0,Regional Comprehensive,49741.0,22.5,1,0.5,0.866,72.5,25163.0,10479.0,35642.0,14099.0,1,0.3104,0.7166,5128.0,0.0588
CO,0,Suburb,3070.0,24018.0,0,1,2.5,42.0,Community College,15605.0,250.2,1,0.5,0.866,41.1,0.0,6465.0,6465.0,9140.0,0,0.3805,0.4143,6070.0,0.0381
AZ,0,Suburb,17657.0,84936.0,0,0,2.85,29.0,Regional Comprehensive,47042.0,160.6,11,-0.5,0.866,63.8,14087.0,6411.0,20498.0,26544.0,1,0.3125,0.4357,8887.0,0.0312
NJ,0,Rural,50971.0,223793.0,0,0,3.44,51.0,Liberal Arts College,71257.0,78.0,9,-1.0,-0.0,52.7,25638.0,3216.0,28854.0,42403.0,1,0.1895,0.4049,0.0,0.0769
NJ,0,Suburb,13121.0,76177.0,0,0,2.72,54.0,Regional Comprehensive,42413.0,178.7,3,1.0,0.0,81.4,14621.0,5001.0,19622.0,22791.0,1,0.2992,0.4626,9670.0,0.1145
NY,0,City,-1500.0,13296.0,0,1,3.93,95.0,R2 Doctoral,60297.0,20.7,11,-0.5,0.866,80.0,29342.0,17347.0,46689.0,13608.0,0,1.0235,0.7743,15108.0,0.125
CA,0,City,14183.0,77314.0,0,0,2.8,65.0,R2 Doctoral,56684.0,588.5,1,0.5,0.866,22.6,19200.0,7649.0,26849.0,29835.0,0,0.3859,0.4737,15652.0,0.0286
OH,1,City,9897.0,54713.0,0,0,2.78,71.0,Liberal Arts College,64203.0,63.0,1,0.5,0.866,97.4,24921.0,13766.0,38687.0,25516.0,0,0.4664,0.6026,15619.0,0.1034
FL,0,Rural,2696.0,28489.0,0,1,3.41,67.0,R2 Doctoral,56313.0,51.1,4,0.866,-0.5,76.6,21475.0,19187.0,40662.0,15651.0,0,0.5494,0.7221,12955.0,0.062
IL,0,City,14442.0,81195.0,0,0,3.5,69.0,Community College,16764.0,68.5,9,-1.0,-0.0,66.5,2766.0,590.0,3356.0,13408.0,1,0.1651,0.2002,0.0,0.1
OR,0,City,16149.0,118590.0,0,0,3.24,46.0,Regional Comprehensive,40443.0,21.2,1,0.5,0.866,56.9,13501.0,6330.0,19831.0,20612.0,0,0.1738,0.4903,4463.0,0.1053
FL,0,City,138.0,38897.0,0,1,3.42,78.0,R1 Research,69488.0,91.1,2,0.866,0.5,71.3,20969.0,35406.0,56375.0,13113.0,1,0.3371,0.8113,12975.0,0.0594
CA,0,Town,4584.0,19274.0,0,1,3.17,35.0,Liberal Arts College,75084.0,76.3,1,0.5,0.866,69.5,20900.0,35508.0,56408.0,18676.0,1,0.969,0.7513,14092.0,0.0504
NY,0,Suburb,4982.0,14788.0,0,1,2.74,33.0,Liberal Arts College,81162.0,31.5,7,-0.5,-0.866,72.9,21071.0,25044.0,46115.0,35047.0,0,2.37,0.5682,30065.0,0.1176
NY,0,Suburb,12957.0,38976.0,0,0,3.54,80.0,Regional Comprehensive,48999.0,286.4,2,0.866,0.5,68.6,24011.0,8140.0,32151.0,16848.0,1,0.4323,0.6562,3891.0,0.1364
MA,0,Suburb,17510.0,56277.0,0,0,2.43,25.0,Community College,18561.0,484.2,4,0.866,-0.5,70.3,0.0,210.0,210.0,18351.0,0,0.3261,0.0113,841.0,0.0656
NJ,0,City,2185.0,43411.0,1,1,3.71,81.0,Liberal Arts College,78772.0,123.1,1,0.5,0.866,80.4,37193.0,25790.0,62983.0,15789.0,1,0.3637,0.7996,13604.0,0.0808
MN,0,Rural,4632.0,38486.0,0,1,1.6,,Liberal Arts College,86200.0,91.9,3,1.0,0.0,26.3,8883.0,43065.0,51948.0,34252.0,0,0.89,0.6026,29620.0,0.1
TN,0,City,19886.0,94740.0,0,0,3.12,45.0,Regional Comprehensive,43873.0,200.1,1,0.5,0.866,57.9,15100.0,6595.0,21695.0,22178.0,1,0.2341,0.4945,2292.0,0.1667
IL,0,City,24766.0,87837.0,0,0,3.39,43.0,Liberal Arts College,81322.0,124.1,11,-0.5,0.866,54.1,27235.0,10897.0,38132.0,43190.0,1,0.4917,0.4689,18424.0,0.0978
AL,0,Suburb,8953.0,72672.0,1,0,3.18,71.0,Regional Comprehensive,45978.0,40.7,6,0.0,-1.0,55.7,19873.0,9544.0,29417.0,16561.0,0,0.2279,0.6398,7608.0,0.019
TX,0,City,21032.0,113309.0,0,0,3.77,82.0,Regional Comprehensive,43564.0,63.9,4,0.866,-0.5,80.7,18094.0,6287.0,24381.0,19183.0,1,0.1693,0.5597,0.0,0.1094
CA,0,City,10835.0,39240.0,0,0,3.77,89.0,Regional Comprehensive,39285.0,92.8,2,0.866,0.5,91.3,20223.0,7756.0,27979.0,11306.0,0,0.2881,0.7122,471.0,0.25
CA,0,Town,4401.0,28622.0,1,1,3.51,74.0,Liberal Arts College,67543.0,164.4,1,0.5,0.866,69.6,27564.0,21858.0,49422.0,18121.0,0,0.6331,0.7317,13720.0,0.1026
MD,0,Suburb,6315.0,43214.0,0,1,3.63,78.0,R1 Research,81359.0,128.0,3,1.0,0.0,63.8,25547.0,21099.0,46646.0,34713.0,1,0.8033,0.5733,28398.0,0.1667
GA,0,City,9616.0,41120.0,1,0,3.5,76.0,Regional Comprehensive,37729.0,158.0,2,0.866,0.5,68.2,18647.0,4678.0,23325.0,14404.0,1,0.3503,0.6182,4788.0,0.1075
TX,0,Suburb,1173.0,14372.0,0,1,3.79,83.0,R1 Research,87983.0,25.6,4,0.866,-0.5,32.2,28732.0,28062.0,56794.0,31189.0,0,2.1701,0.6455,30016.0,0.05
NC,0,Town,7070.0,42497.0,0,1,2.46,30.0,Regional Comprehensive,41955.0,254.8,1,0.5,0.866,47.2,9734.0,12169.0,21903.0,20052.0,1,0.4718,0.5221,12982.0,0.0382
TX,0,City,22279.0,139454.0,0,0,3.29,53.0,Regional Comprehensive,37040.0,127.2,4,0.866,-0.5,44.7,14666.0,2844.0,17510.0,19530.0,0,0.14,0.4727,0.0,0.1111
IN,0,City,18054.0,112040.0,0,0,2.78,79.0,R1 Research,67127.0,1848.6,10,-0.866,0.5,69.5,17059.0,12420.0,29479.0,37648.0,0,0.336,0.4392,19594.0,0.0847
OH,1,Suburb,15308.0,91870.0,1,0,2.4,45.0,Regional Comprehensive,20858.0,24.4,3,1.0,0.0,58.1,8017.0,1046.0,9063.0,11795.0,1,0.1284,0.4345,0.0,0.1111
IL,0,Suburb,9559.0,69201.0,0,0,2.5,55.0,R2 Doctoral,45762.0,177.9,1,0.5,0.866,61.6,15943.0,9638.0,25581.0,20181.0,0,0.2916,0.559,10622.0,0.1084
NY,0,Rural,37422.0,178654.0,0,0,3.72,99.0,Community College,19248.0,2471.4,5,0.5,-0.866,56.3,1029.0,0.0,1029.0,18219.0,0,0.102,0.0535,0.0,0.024
AZ,0,Suburb,-1500.0,29339.0,0,1,2.85,46.0,Regional Comprehensive,37955.0,155.3,11,-0.5,0.866,49.3,13517.0,11772.0,25289.0,12666.0,0,0.4317,0.6663,14166.0,0.0862
PA,0,City,8237.0,31424.0,1,1,3.72,80.0,R1 Research,58366.0,118.0,11,-0.5,0.866,95.6,21328.0,27358.0,48686.0,9680.0,1,0.308,0.8342,1443.0,0.0909
CA,0,Suburb,26391.0,141420.0,1,0,3.16,61.0,Regional Comprehensive,45243.0,45.0,3,1.0,0.0,67.1,17263.0,3372.0,20635.0,24608.0,1,0.174,0.4561,0.0,0.3243
CA,0,Suburb,9825.0,64208.0,0,0,3.04,52.0,Regional Comprehensive,45329.0,630.5,3,1.0,0.0,86.4,15539.0,8469.0,24008.0,21321.0,0,0.3321,0.5296,11496.0,0.4118
WV,0,City,14602.0,38822.0,0,0,3.71,93.0,Community College,20244.0,37.5,2,0.866,0.5,49.4,2261.0,1418.0,3679.0,16565.0,0,0.4267,0.1817,1963.0,0.0625
IA,0,Suburb,16059.0,93656.0,0,0,3.75,73.0,Community College,19576.0,198.4,11,-0.5,0.866,33.9,4595.0,677.0,5272.0,14304.0,0,0.1527,0.2693,0.0,0.0545
IN,0,City,1473.0,45904.0,0,1,2.43,19.0,Regional Comprehensive,44741.0,77.1,2,0.866,0.5,78.1,12169.0,22437.0,34606.0,10135.0,1,0.2208,0.7735,8662.0,0.0822
FL,0,Town,13131.0,34440.0,1,0,3.08,41.0,Regional Comprehensive,47563.0,103.9,4,0.866,-0.5,67.0,15547.0,8724.0,24271.0,23292.0,0,0.6763,0.5103,10161.0,0.0693
HI,0,Town,10136.0,33757.0,1,0,2.84,45.0,Community College,21267.0,28.4,4,0.866,-0.5,75.5,4347.0,2758.0,7105.0,14162.0,1,0.4195,0.3341,4026.0,0.1111
MN,0,Suburb,14009.0,79341.0,1,0,2.59,33.0,R1 Research,72561.0,519.1,1,0.5,0.866,99.4,11638.0,15445.0,27083.0,45478.0,0,0.5732,0.3732,31469.0,0.1744
MO,0,Rural,10926.0,72998.0,0,0,2.97,46.0,Community College,20266.0,94.6,4,0.866,-0.5,63.6,2810.0,1760.0,4570.0,15696.0,1,0.215,0.2255,4770.0,0.0576
GA,0,Rural,36116.0,187598.0,0,0,2.15,24.0,Community College,12459.0,35.4,4,0.866,-0.5,67.3,0.0,0.0,0.0,12459.0,1,0.0664,0.0,0.0,0.1
FL,0,City,-1385.0,51079.0,1,1,1.67,,Community College,17899.0,472.1,2,0.866,0.5,59.9,891.0,7905.0,8796.0,9103.0,1,0.1782,0.4914,10488.0,0.1236
CA,0,Suburb,11074.0,50456.0,1,0,2.56,48.0,Community College,22591.0,74.6,1,0.5,0.866,69.3,1596.0,2728.0,4324.0,18267.0,1,0.362,0.1914,7193.0,0.1842
IA,0,Suburb,31739.0,177466.0,0,0,3.12,45.0,R1 Research,66928.0,180.0,3,1.0,0.0,65.9,14025.0,8563.0,22588.0,44340.0,1,0.2499,0.3375,12601.0,0.1091
GA,0,City,22255.0,127985.0,0,0,3.34,53.0,Regional Comprehensive,47255.0,306.5,12,-0.0,1.0,61.8,18744.0,5721.0,24465.0,22790.0,1,0.1781,0.5177,535.0,0.1455
TX,0,Suburb,12338.0,69865.0,1,0,2.38,23.0,R1 Research,74080.0,208.4,12,-0.0,1.0,62.2,9741.0,15959.0,25700.0,48380.0,0,0.6925,0.3469,36042.0,0.3824
NY,0,City,5968.0,20457.0,1,1,2.87,48.0,R2 Doctoral,52210.0,15.0,3,1.0,0.0,37.2,16212.0,15783.0,31995.0,20215.0,0,0.9882,0.6128,14247.0,0.0612
VA,0,Rural,1815.0,35083.0,0,1,3.36,80.0,Liberal Arts College,81501.0,263.0,9,-1.0,-0.0,83.1,36159.0,22547.0,58706.0,22795.0,0,0.6497,0.7203,20980.0,0.0783
TX,0,Suburb,11035.0,29468.0,0,0,3.05,56.0,Community College,17852.0,114.0,9,-1.0,-0.0,57.2,2153.0,1586.0,3739.0,14113.0,0,0.4789,0.2094,3078.0,0.0889
OR,0,Town,7305.0,64618.0,0,1,2.95,32.0,Regional Comprehensive,42780.0,89.7,12,-0.0,1.0,81.5,12399.0,10394.0,22793.0,19987.0,1,0.3093,0.5328,12682.0,0.1461
CO,0,Suburb,7279.0,43652.0,1,1,1.97,22.0,Liberal Arts College,71956.0,113.0,6,0.0,-1.0,47.5,14584.0,22319.0,36903.0,35053.0,0,0.803,0.5129,27774.0,0.0706
MO,0,City,41410.0,199604.0,1,0,2.28,34.0,R2 Doctoral,50773.0,23.4,2,0.866,0.5,56.9,12347.0,1539.0,13886.0,36887.0,1,0.1848,0.2735,0.0,0.0515
OH,1,Rural,637.0,20304.0,1,1,2.64,34.0,Regional Comprehensive,26476.0,44.9,12,-0.0,1.0,53.3,6760.0,9567.0,16327.0,10149.0,0,0.4999,0.6167,9512.0,0.3125
AZ,0,City,6232.0,27278.0,1,1,2.03,20.0,R1 Research,67583.0,30.2,2,0.866,0.5,58.5,9348.0,33570.0,42918.0,24665.0,0,0.9042,0.635,18433.0,0.1509
VA,0,City,11693.0,75067.0,1,0,1.92,33.0,Liberal Arts College,77638.0,93.9,1,0.5,0.866,73.3,15822.0,15622.0,31444.0,46194.0,1,0.6154,0.405,34501.0,0.1216
MA,0,Suburb,15574.0,91623.0,0,0,3.52,64.0,R2 Doctoral,53709.0,149.3,4,0.866,-0.5,79.7,20344.0,5532.0,25876.0,27833.0,0,0.3038,0.4818,12259.0,0.0519
CA,0,Suburb,-1500.0,9772.0,1,1,3.83,99.0,R1 Research,67974.0,391.3,12,-0.0,1.0,81.6,23913.0,37735.0,61648.0,6326.0,1,0.6474,0.9069,7826.0,0.1084
OH,1,Suburb,2132.0,18043.0,0,1,2.87,67.0,Regional Comprehensive,42540.0,15.5,6,0.0,-1.0,49.9,16984.0,21737.0,38721.0,3819.0,1,0.2117,0.9102,1687.0,0.0484
CA,0,City,10404.0,52063.0,1,0,2.53,39.0,Regional Comprehensive,48248.0,581.7,5,0.5,-0.866,52.4,13888.0,9082.0,22970.0,25278.0,0,0.4855,0.4761,14874.0,0.0842
NC,0,Suburb,37368.0,167101.0,1,0,3.01,39.0,Liberal Arts College,60470.0,342.4,2,0.866,0.5,79.7,19535.0,5760.0,25295.0,35175.0,1,0.2105,0.4183,0.0,0.0839
NY,0,City,55883.0,245043.0,0,0,2.58,56.0,Regional Comprehensive,46126.0,80.7,8,-0.866,-0.5,37.5,14945.0,0.0,14945.0,31181.0,1,0.1272,0.324,0.0,0.0429
TX,0,City,8295.0,46703.0,1,1,2.67,54.0,R2 Doctoral,57738.0,39.6,1,0.5,0.866,78.9,17295.0,20882.0,38177.0,19561.0,1,0.4188,0.6612,11266.0,0.1395
CA,0,Suburb,7994.0,55667.0,0,1,3.24,71.0,R1 Research,103578.0,27.8,1,0.5,0.866,58.5,29170.0,38314.0,67484.0,36094.0,1,0.6484,0.6515,28100.0,0.1385
VA,0,City,6976.0,34457.0,1,1,3.13,59.0,Liberal Arts College,80380.0,168.5,10,-0.866,0.5,50.8,26719.0,33502.0,60221.0,20159.0,1,0.585,0.7492,13183.0,0.0897
TX,0,City,18579.0,99301.0,0,0,1.88,27.0,R1 Research,90957.0,58.4,4,0.866,-0.5,9.5,12423.0,17572.0,29995.0,60962.0,0,0.6139,0.3298,42383.0,0.0098
